brand,product_links
sk-ii,https://www.sephora.com/product/facial-treatment-cleanser-P375850?icid2=products
sk-ii,https://www.sephora.com/product/ultimate-revival-cream-P375854?icid2=products
sk-ii,https://www.sephora.com/product/genoptics-spot-essence-P410755?icid2=products
skin-laundry,https://www.sephora.com/product/wrinkle-release-facial-sheet-mask-P416589?icid2=products
skin-laundry,https://www.sephora.com/product/gentle-foaming-face-wash-P416312?icid2=products
skin-laundry,https://www.sephora.com/product/wrinkle-release-neck-chest-sheet-mask-P416588?icid2=products
skinfix,https://www.sephora.com/product/barrier-lipid-peptide-cream-P442840?icid2=products
skinfix,https://www.sephora.com/product/resurface-aha-renewing-cream-P442845?icid2=products
skinfix,https://www.sephora.com/product/barrier-lipid-boost-360-eye-P442838?icid2=products
skinfix,https://www.sephora.com/product/resurface-glycolic-renewing-scrub-P442844?icid2=products
skinfix,https://www.sephora.com/product/barrier-lipid-peptide-lotion-P442839?icid2=products
skinfix,https://www.sephora.com/product/barrier-foaming-oil-cleanser-P442836?icid2=products
skinfix,https://www.sephora.com/product/eczema-hand-repair-cream-P442842?icid2=products
skinfix,https://www.sephora.com/product/barrier-lipid-boost-body-cream-P450599?icid2=products
skinfix,https://www.sephora.com/product/barrier-lipid-boost-jelly-P442837?icid2=products
skinfix,https://www.sephora.com/product/redness-recovery-antioxidant-redness-treatment-overnight-mask-P442850?icid2=products
skinfix,https://www.sephora.com/product/eczema-dermatitis-face-balm-P442843?icid2=products
skinfix,https://www.sephora.com/product/eczema-extra-strength-body-cream-P442846?icid2=products
skylar,https://www.sephora.com/product/skylar-salt-air-eau-de-parfum-P456975?icid2=products
skylar,https://www.sephora.com/product/perfume-palette-P447525?icid2=products
skylar,https://www.sephora.com/product/skylar-vanilla-sky-eau-de-toilette-P467146?icid2=products
skylar,https://www.sephora.com/product/skylar-salt-air-eau-de-parfum-rollerball-P456976?icid2=products
skylar,https://www.sephora.com/product/isle-eau-de-toilette-P447536?icid2=products
skylar,https://www.sephora.com/product/skylar-sun-shower-soothing-hand-sanitizer-gel-P462740?icid2=products
skylar,https://www.sephora.com/product/capri-eau-de-toilette-P447530?icid2=products
skylar,https://www.sephora.com/product/skylar-vanilla-sky-eau-de-toilette-rollerball-P467147?icid2=products
skylar,https://www.sephora.com/product/skylar-sun-shower-soothing-mini-hand-sanitizer-gel-P466444?icid2=products
skylar,https://www.sephora.com/product/skylar-sun-shower-eau-de-toilette-P461201?icid2=products
skylar,https://www.sephora.com/product/meadow-eau-de-toilette-P447533?icid2=products
skylar,https://www.sephora.com/product/isle-eau-de-toilette-rollerball-P447535?icid2=products
slip,https://www.sephora.com/product/silk-pillowcase-standard-queen-P402944?icid2=products
slip,https://www.sephora.com/product/small-slipsilk-scrunchies-P431718?icid2=products
slip,https://www.sephora.com/product/silk-pillowcase-king-P402943?icid2=products
slip,https://www.sephora.com/product/silk-sleepmask-P402942?icid2=products
slip,https://www.sephora.com/product/slip-scrunchie-mega-value-pack-P468413?icid2=products
slip,https://www.sephora.com/product/large-slipsilk-scrunchies-P430325?icid2=products
slip,https://www.sephora.com/product/slip-reusable-face-covering-P467264?icid2=products
slip,https://www.sephora.com/product/slip-pure-silk-turban-P454754?icid2=products
slip,https://www.sephora.com/product/silk-pillowcase-duo-scrunchies-kit-P444163?icid2=products
slip,https://www.sephora.com/product/medium-slipsilk-tm-scrunchies-P446866?icid2=products
slip,https://www.sephora.com/product/beauty-sleep-to-go-P430959?icid2=products
slip,https://www.sephora.com/product/pure-silk-headband-P441823?icid2=products
smashbox,https://www.sephora.com/product/photo-finish-foundation-primer-P9889?icid2=products
smashbox,https://www.sephora.com/product/studio-skin-15-hour-wear-foundation-P292403?icid2=products
smashbox,https://www.sephora.com/product/always-on-matte-liquid-lipstick-P409317?icid2=products
smashbox,https://www.sephora.com/product/smashbox-halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-P460019?icid2=products
smashbox,https://www.sephora.com/product/cali-contour-palette-P429909?icid2=products
smashbox,https://www.sephora.com/product/smashbox-photo-finish-vitamin-glow-primer-P456373?icid2=products
smashbox,https://www.sephora.com/product/photo-finish-oil-shine-control-primer-P447362?icid2=products
smashbox,https://www.sephora.com/product/step-by-step-contour-kit-P387426?icid2=products
smashbox,https://www.sephora.com/product/photo-finish-color-correcting-foundation-primer-P78811?icid2=products
smashbox,https://www.sephora.com/product/always-sharp-waterproof-kohl-liner-P380998?icid2=products
smashbox,https://www.sephora.com/product/smashbox-halo-fresh-perfecting-powder-foundation-P456374?icid2=products
smashbox,https://www.sephora.com/product/iconic-photo-finish-foundation-primer-mini-P422463?icid2=products
sobel-skincare-rx,https://www.sephora.com/product/sobel-skin-rx-4-5-retinol-night-treatment-P447213?icid2=products
sobel-skincare-rx,https://www.sephora.com/product/sobel-skin-rx-bio-hyaluronic-moisturizing-cream-P451749?icid2=products
sobel-skincare-rx,https://www.sephora.com/product/sobel-skin-rx-35-vitamin-c-face-serum-P451746?icid2=products
