pd_id,size_and_item,category,price,love_count,reviews_count
P630872,Size 0.15 oz/ 4.5 mL,"Makeup, Eye, Eyeshadow",$24.00,420K,1.9K
P427385,Format 0.153 oz,"Makeup, Eye, Eyeshadow",$24.00,159K,1.2K
P406281,,"Makeup, Face, Color Correct",$31.50 $45.00,36.9K,147
P261621,Format 0.01 oz/ 0.28 g,"Makeup, Eye, Eyeliner",$22.00,71.1K,2K
P269019,,"Makeup, Face, Face Primer",$36.00,55.3K,1.2K
P429008,Format .016 oz / 0.5 mL,"Makeup, Eye, Eyeliner",$22.00,21.2K,305
P466152,Format 0.033 oz/ 1 mL,"Makeup, Eye, Eyeliner",$28.00 ($44.00 value),10.2K,20
P397901,Size 0.44 oz/ 13 mL,"Makeup, Eye, Mascara",$23.00,23.1K,889
P469538,,"Skincare, Treatments, Face Serums",$89.00,2.7K,222
P469537,,"Skincare, Value & Gift Sets",$54.00 ($75.00 value),1.8K,128
P448926,,"Skincare, Moisturizers, Moisturizers",$240.00,2.4K,183
P450633,,"Skincare, Cleansers, Face Wash & Cleansers",$40.00,11.4K,146
P450632,,"Skincare, Cleansers, Face Wash & Cleansers",$38.00,8.7K,152
P448925,,"Skincare, Moisturizers, Moisturizers",$100.00,3.1K,87
P448928,,"Skincare, Eye Care, Eye Creams & Treatments",$180.00,1.6K,16
P448922,,"Skincare, Treatments, Face Serums",$205.00,1.9K,14
P454775,,"Skincare, Moisturizers, Moisturizers",$240.00,1.1K,6
P448918,,"Skincare, Moisturizers, Mists & Essences",$58.00,2.4K,15
P450631,,"Skincare, Masks, Face Masks",$60.00,2.3K,10
P448923,,"Skincare, Moisturizers, Moisturizers",$63.00,2.1K,15
P449180,,"Skincare, Treatments, Face Serums",$64.00,63.8K,749
P466153,,"Skincare, Moisturizers, Moisturizers",$42.00,26.5K,180
P455936,Size 0.5 oz/ 15g,"Skincare, Lip Treatments, Lip Balms & Treatments",$22.00,57.5K,859
P469189,,"Bath & Body, Body Moisturizers, Body Lotions & Body Oils",$26.00,13.5K,116
P436387,,"Skincare, Masks, Face Masks",$44.00,61.3K,501
P462745,,"Skincare, Treatments, Facial Peels",$54.00,19.3K,87
P455242,,"Skincare, Cleansers, Face Wash & Cleansers",$38.00,20.4K,219
P440504,,"Skincare, Masks, Face Masks",$52.00,44.1K,468
P309308,,"Skincare, Treatments, Face Serums",$122.00 ($142.00 value),210.5K,4.6K
P418346,,"Skincare, Treatments, Face Serums",$85.00,56K,775
P463966,,"Skincare, Value & Gift Sets",$93.00 ($193.00 value),14.1K,24
P393718,,"Skincare, Moisturizers, Face Oils",$55.00,146.4K,2.3K
P440075,,"Skincare, Treatments, Face Serums",$85.00,49.3K,432
P463965,,"Skincare, Value & Gift Sets",$95.00 ($177.00 value),14.9K,38
P442761,,"Skincare, Moisturizers, Face Oils",$80.00,41.1K,460
P457284,,"Skincare, Value & Gift Sets",$122.00 ($184.00 value),5.2K,7
P406938,,"Skincare, Moisturizers, Moisturizers",$65.00,67K,1.4K
P410400,,"Skincare, Moisturizers, Face Oils",$80.00,104.3K,2.1K
P416139,,"Skincare, Moisturizers, Moisturizers",$65.00,52.4K,929
P424948,,"Skincare, Eye Care, Eye Creams & Treatments",$65.00,24.7K,1.3K
P454380,,"Skincare, Sun Care, Face Sunscreen",$44.00 ($51.00 value),143.8K,2.1K
P456218,,"Skincare, Sun Care, Face Sunscreen",$36.00,82.6K,773
P454383,,"Skincare, Sun Care, Face Sunscreen",$22.00,30.8K,797
P466154,,"Skincare, Sun Care, Face Sunscreen",$46.00,24.3K,246
P470057,,"Skincare, Sun Care, Face Sunscreen",$38.00,8.1K,238
P470255,,"Skincare, Mini Size",$20.00,7.2K,5
P467976,Format 0.15 oz/ 4.25 g,"Skincare, Value & Gift Sets",$30.00,9.3K,165
P470254,,"Skincare, Value & Gift Sets",$28.00 ($41.00 value),5.4K,8
P470058,,"Skincare, Sun Care, Body Sunscreen",$42.00,5.7K,204
P439928,,"Skincare, Moisturizers, Moisturizers",$38.00,32.8K,526
P454387,,"Skincare, Sun Care, Body Sunscreen",$15.00,23K,319
P463353,Format 1.6 oz/ 47 mL,"Skincare, Moisturizers, BB & CC Creams",$39.00,17.5K,231
P394178,Format 0.05 oz/ 1.56 g,"Makeup, Lip, Lipstick",$24.00 $34.00,14.3K,60
P407377,Format 0.5 oz/ 15 mL,"Makeup, Face, Foundation",$49.00 $70.00,9.2K,90
P394166,Format 0.06 oz/ 1.7 mL,"Makeup, Face, Concealer",$35.00 $50.00,3.6K,21
P394180,Size 0.2 oz/ 6 mL,"Makeup, Lip, Lip Gloss",$22.50 $32.00,15.7K,38
P432840,,"Makeup, Eye, Eyeshadow",$25.00 $36.00,11.1K,27
P394175,Format 0.06 oz/ 1.7 g,"Makeup, Eye, Eyeshadow",$15.50 $22.00,45.1K,82
P425734,"Format Lipstick 0.018 oz/ 0.51 g, Powder 0.009 oz/ 0.26 g","Makeup, Lip, Lipstick",$12.00 $38.00,1.7K,5
P439024,,"Makeup, Face, Concealer",$40.50 $58.00,2.9K,7
P402704,Format 0.08 oz/ 2.26 g,"Makeup, Lip, Lipstick",$25.00 $36.00,10.9K,21
P394174,Size 0.0088 oz/ 0.24 g,"Makeup, Eye, Eyeshadow",$24.50 $35.00,6.3K,32
P394179,Format 0.04 oz/ 1.1 g,"Makeup, Lip, Lipstick",$24.00 $34.00,8.3K,26
P432839,,"Makeup, Brushes & Applicators, Eye Brushes",$19.50 $28.00,322,1
P458506,,"Hair, Hair Tools, Hair Straighteners & Flat Irons",$150.00,5.9K,73
P445425,,"Hair, Hair Tools, Curling Irons",$150.00,5.5K,17
P463354,,"Hair, Hair Tools, Hair Straighteners & Flat Irons",$235.00,4.9K,85
P469539,,"Hair, Hair Tools, Hair Dryers",$150.00,537,43
P429717,,"Hair, Hair Tools, Curling Irons",$325.00 ($355.00 value),11.2K,40
P388707,,"Hair, Hair Tools, Curling Irons",$300.00 ($355.00 value),44.5K,257
P445441,,"Hair, Hair Tools, Hair Brushes & Combs",$35.00,5.4K,8
P422239,,"Hair, Hair Tools, Curling Irons",$160.00,7.8K,50
P428229,,"Hair, Hair Tools, Curling Irons",$150.00,11.4K,65
P463355,,"Hair, Hair Tools, Curling Irons",$235.00,1.2K,57
P427913,,"Hair, Hair Tools, Hair Dryers",$235.00,11.9K,113
P428228,,"Hair, Hair Tools, Curling Irons",$150.00,8.2K,38
P424988,Format 1.01 oz/ 30 mL,"Skincare, Self Tanners, For Face",$49.00,44.5K,361
P424989,Format 1.69 oz/ 50 mL,"Bath & Body, Self Tanners, For Body",$59.00,17.1K,155
P424990,,"Skincare, Self Tanners, For Face",$33.00,14.9K,109
P447199,,"Skincare, Self Tanners, For Face",$49.00,11.4K,111
P424985,Format 6.76 oz/ 200 mL,"Skincare, Self Tanners, For Face",$47.00,7.6K,75
P456989,,"Skincare, Self Tanners, For Body",$49.00,5.4K,38
P433440,Size 3.38 oz/ 100 mL,"Skincare, Self Tanners, For Body",$68.00,3.1K,20
P424984,Format 6.76 oz/ 200 mL,"Skincare, Self Tanners, For Face",$49.00,4.7K,53
P424986,,"Skincare, Self Tanners, For Body",$36.00,13K,151
P470545,,"Skincare, Self Tanners, For Face",$49.00,1.3K,5
P424987,,"Skincare, Self Tanners, For Face",$49.00,4.2K,22
P432665,,"Bath & Body, Self Tanners, For Body",$33.00,905,6
P433206,,"Makeup, Face, Concealer",$26.00,104.7K,1.7K
P302918,Format 1.7 oz/ 50 mL,"Makeup, Face, Foundation",$39.00,188.1K,6.7K
P403812,,"Makeup, Eye, Eye Palettes",$39.00,314.7K,3.2K
P278610,,"Makeup, Cheek, Blush",$15.00,341.5K,6.1K
P405102,Format 1 oz,"Makeup, Face, Foundation",$39.00,195.8K,3.8K
P468416,,"Makeup, Eye, Eye Palettes",$45.00,22.5K,69
P377542,Format 1 fl oz/ 30 mL,"Makeup, Face, BB & CC Cream",$37.00,113.1K,3.5K
P111902,Format 0.24 oz/ 7 mL,"Makeup, Eye, Mascara",$23.00,104.6K,6.5K
P456601,Format 0.56 oz/ 16 g,"Makeup, Cheek, Bronzer",$29.00,22.1K,122
P67617,Size 1.7 oz,"Makeup, Face, Tinted Moisturizer",$36.00,72.6K,2.5K
P456371,Size 1 oz/ 30 mL ,"Makeup, Face, Tinted Moisturizer",$29.00,29.9K,209
P447364,Format 0.035 oz/ 1 g,"Mini Size, Makeup",$10.00,63.6K,378
P452693,,"Skincare, Lip Treatments, Lip Balms & Treatments",$8.00,23K,90
P379710,,"Skincare, Cleansers, Face Wash & Cleansers",$42.00,31.6K,571
P429954,,"Skincare, Cleansers, Face Wash & Cleansers",$72.00,16.7K,197
P379707,,"Skincare, Masks, Face Masks",$65.00,50.2K,730
P458917,,"Skincare, Moisturizers, Moisturizers",$68.00,7.3K,195
P386739,,"Skincare, Eye Care, Eye Creams & Treatments",$105.00,9.5K,99
P449408,,"Skincare, Moisturizers, Mists & Essences",$215.00,3.5K,7
P432048,,"Skincare, Treatments, Face Serums",$88.00,16.9K,316
P379709,,"Skincare, Moisturizers, Moisturizers",$116.00,5.1K,130
P392144,,"Skincare, Cleansers, Face Wash & Cleansers",$76.00,12.7K,153
P379705,,"Skincare, Moisturizers, Mists & Essences",$72.00,11.1K,82
P422848,,"Skincare, Moisturizers, Moisturizers",$195.00,2K,15
P392143,,"Skincare, Value & Gift Sets",$75.00 ($117.00 value),20.3K,110
P441101,,"Skincare, Moisturizers, Moisturizers",$68.00,173.5K,2K
P418218,,"Skincare, Moisturizers, Moisturizers",$68.00,280.4K,3.6K
P427536,,"Skincare, Cleansers, Face Wash & Cleansers",$38.00,162.7K,2.1K
P461537,,"Skincare, Cleansers, Face Wash & Cleansers",$35.00,66.8K,1.8K
P439058,,"Skincare, Treatments, Face Serums",$88.00,104.1K,1.5K
P456446,,"Makeup, Face, Face Primer",$52.00,95.2K,1.6K
P466155,,"Skincare, Treatments, Face Serums",$88.00,33.4K,1.3K
P469546,,"Makeup, Face, Setting Spray & Powder",$48.00,18.5K,549
P415771,,"Skincare, Moisturizers, Mists & Essences",$95.00,88.4K,1.3K
P408206,,"Skincare, Sun Care, Face Sunscreen",$65.00,75.1K,655
P447780,,"Skincare, Eye Care, Eye Creams & Treatments",$60.00,67.9K,1.4K
P462750,,"Skincare, Value & Gift Sets",$88.00 ($120.00 value),14.1K,21
P38221,,"Fragrance, Women, Perfume",$76.00,23.8K,651
P470553,,"Fragrance, Value & Gift Sets, Perfume Gift Sets",$48.00 ($69.00 value),2.2K,1
P456174,,"Fragrance, Value & Gift Sets, Perfume Gift Sets",$20.00 ($28.00 value),7.6K,21
P38220,,"Fragrance, Women, Perfume",$76.00,11.8K,433
