pd_id,size_and_item,category,price,love_count,reviews_count
P389168,,"Tools & Brushes, Accessories, Tweezers & Eyebrow Tools",$20.00,19.9K,423
P377523,,"Tools & Brushes, Accessories, Tweezers & Eyebrow Tools",$27.00,12.1K,157
P460845,,"Makeup, Accessories, Tweezers & Eyebrow Tools",$17.00,3.9K,3
P230701,,"Tools & Brushes, Accessories, Eyelash Curlers",$23.00,18.9K,708
P463103,,"Tools & Brushes, Accessories, Tweezers & Eyebrow Tools",$23.00,0,
P377004,,"Tools & Brushes, Accessories, Tweezers & Eyebrow Tools",$24.00,5.2K,84
P442763,,"Makeup, Accessories, Tweezers & Eyebrow Tools",$24.00,4.1K,19
P384099,Format 12 x 0.05 oz/ 1.41 g,"Makeup, Eye, Eye Palettes",$54.00,396.1K,6.6K
P263504,,"Makeup, Face, Setting Spray & Powder",$33.00,555.8K,11K
P133707,Format 0.04 oz/ 1.2 g,"Makeup, Eye, Eyeliner",$22.00,441.9K,16K
P422455,,"Mini Size, Makeup",$15.00,131.8K,10.9K
P468712,,"Makeup, Eye, Eye Palettes",$49.00,27.9K,842
P436254,,"Makeup, Face, Setting Spray & Powder",$42.00 ($66.00 value),33.8K,9.6K
P284716,,"Makeup, Eye, Eye Primer",$24.00,279.3K,7.4K
P388225,,"Mini Size, Makeup",$29.00,203.5K,1.8K
P447143,Size 1.0 fl oz/ 30 mL,"Makeup, Face, Foundation",$39.00,54.2K,2K
P74312,Size 0.25 oz/ 7.5 mL,"Makeup, Eye, Eyeliner",$21.00,233.2K,2.4K
P454337,,"Makeup, Face, Face Primer",$36.00,19.1K,462
P422461,,"Mini Size, Makeup",$13.00,58K,433
P449116,,"Fragrance, Women, Perfume",$105.00,37.8K,734
P462409,,"Fragrance, Women, Perfume",$30.00,8.3K,800
P449117,,"Fragrance, Women, Rollerballs & Travel Size",$30.00,17K,734
P467152,,"Fragrance, Value & Gift Sets, Perfume Gift Sets",$35.00 ($55.00 value),5.3K,15
P470063,,"Fragrance, Women, Perfume",$130.00,1.6K,234
P462410,,"Fragrance, Women, Rollerballs & Travel Size",$30.00,7.7K,800
P452943,,"Fragrance, Men, Cologne",$95.00,2.1K,108
P470062,,"Fragrance, Men, Cologne",$95.00,461,208
P429277,,"Makeup, Eye, False Eyelashes",$26.00,51K,876
P429278,,"Makeup, Eye, False Eyelashes",$29.00 ($39.00 value),38.4K,292
P468423,,"Makeup, Eye, False Eyelashes",$27.00,4.4K,253
P456154,Format 3.5 g,"Makeup, Eye, Eye Sets",$23.00,14.7K,342
P420513,Size 0.5 oz/ 10 mL,"Makeup, Eye, False Eyelashes",$12.00,16.6K,408
P460561,Format 0.8 oz/ 23g,"Makeup, Eye, Eyebrow",$25.00,4.5K,306
P449091,,"Makeup, Eye, False Eyelashes",$30.00,17.4K,657
P447558,,"Makeup, Eye, False Eyelashes",$30.00,13.2K,521
P420514,,"Makeup, Eye, False Eyelashes",$22.00,15.3K,33
P420510,,"Makeup, Eye, False Eyelashes",$26.00,44.3K,130
P449085,,"Makeup, Eye, False Eyelashes",$29.00,6K,20
P456369,,"Makeup, Eye, False Eyelashes",$15.00,3K,116
P471107,,"Hair, Value & Gift Sets",$68.00 ($82.00 value),1K,5
P399992,,"Hair, Hair Styling & Treatments, Hair Oil",$18.00,82.9K,1.4K
P421944,,"Hair, Shampoo & Conditioner, Conditioner",$18.00,22K,365
P421945,,"Hair, Shampoo & Conditioner, Shampoo",$40.00 ($43.00 value),29.5K,618
P471108,,"Hair, Value & Gift Sets",$68.00 ($82.00 value),287,
P457414,,"Hair, Hair Styling & Treatments, Hair Masks",$18.00,10K,322
P468714,,"Hair, Hair Styling & Treatments, Hair Styling Products",$18.00,3.1K,284
P410207,,"Hair, Shampoo & Conditioner, Shampoo",$18.00,8.9K,172
P399993,,"Hair, Shampoo & Conditioner, Conditioner",$18.00,14.3K,270
P406901,,"Hair, Hair Styling & Treatments, Hair Masks",$18.00,23.1K,366
P399994,,"Hair, Shampoo & Conditioner, Shampoo",$18.00,16.1K,441
P410208,,"Hair, Shampoo & Conditioner, Conditioner",$40.00 ($43.00 value),5.2K,86
P163103,,"Fragrance, Women, Perfume",$30.00,115.1K,2.1K
P468856,,"Fragrance, Women, Perfume",$84.00,4.3K,669
P435317,,"Fragrance, Value & Gift Sets, Perfume Gift Sets",$18.00,27K,62
P382751,,"Fragrance, Men, Cologne",$92.00,26.9K,353
P429981,,"Fragrance, Women, Perfume",$92.00,23.7K,248
P385465,,"Fragrance, Women, Perfume",$115.00,13.4K,158
P219907,,"Fragrance, Men, Cologne",$120.00 ($158.00 value),10.6K,303
P455378,,"Mini Size, Fragrance",$18.00,19.6K,21
P411325,,"Fragrance, Men, Cologne",$122.00 ($170.00 value),10.6K,137
P468857,,"Fragrance, Women, Rollerballs & Travel Size",$30.00,2.2K,669
